,0
Romoppvarming_sum,25036
Tappevann_sum,3161
DirekteElektrisk_sum,28198
Levert_fra_luft_sum,12899
Kompressor_luft_sum,8610
Spisslast_luft_sum,3525
Strøm_luft_sum,12136
Levert_fra_brønn_sum,20977
Kompressor_grunnvarme_sum,6958
Strøm_grunnvarme_sum,7220
Spisslast_grunnvarme_sum,262
Romoppvarming_maks,8
Tappevann_maks,0
DirekteElektrisk_maks,9
Levert_fra_luft_maks,2
Kompressor_luft_maks,2
Strøm_luft_maks,7
Spisslast_luft_maks,6
Levert_fra_brønn_maks,4
Kompressor_grunnvarme_maks,1
Strøm_grunnvarme_maks,4
Spisslast_grunnvarme_maks,3
